TransID,OrderID,AccountNumber,Supplier,Address,City,PostalCode,StateProvince,Country,Employee,DueDate,ShipDate,OrderDate,CarrierTrackingNumber,ProductID,OrderQty,Class,Color,ListPrice,SpecialOfferID,UnitPrice,UnitPriceDiscount,PurchasedAmount,DiscountAmount,NetPurchaseAmount,OrderYear,OrderMonth
1,53566,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2013-08-12,2013-08-07,2013-07-31,3543-47B0-87,18,1,High,Black,2294.99,1,1376.994,0.0,1376.99,0.0,1376.99,2013,2013-07
2,53566,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2013-08-12,2013-08-07,2013-07-31,3543-47B0-87,37,1,Low,Silver,564.99,1,338.994,0.0,338.99,0.0,338.99,2013,2013-07
3,53566,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2013-08-12,2013-08-07,2013-07-31,3543-47B0-87,36,3,Low,Silver,564.99,1,338.994,0.0,1016.98,0.0,1016.98,2013,2013-07
4,71933,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2014-05-13,2014-05-08,2014-05-01,11D0-4CAD-81,39,3,Low,Silver,564.99,16,112.998,0.4,338.99,135.6,203.39,2014,2014-05
5,71933,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2014-05-13,2014-05-08,2014-05-01,11D0-4CAD-81,19,3,High,Silver,2319.99,1,1391.994,0.0,4175.98,0.0,4175.98,2014,2014-05
6,71933,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2014-05-13,2014-05-08,2014-05-01,11D0-4CAD-81,17,2,High,Black,2294.99,1,1376.994,0.0,2753.99,0.0,2753.99,2014,2014-05
7,71933,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2014-05-13,2014-05-08,2014-05-01,11D0-4CAD-81,21,3,High,Silver,2319.99,1,1391.994,0.0,4175.98,0.0,4175.98,2014,2014-05
8,71933,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2014-05-13,2014-05-08,2014-05-01,11D0-4CAD-81,18,2,High,Black,2294.99,1,1376.994,0.0,2753.99,0.0,2753.99,2014,2014-05
9,71933,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2014-05-13,2014-05-08,2014-05-01,11D0-4CAD-81,4,2,Low,Not Specified,44.54,1,26.724,0.0,53.45,0.0,53.45,2014,2014-05
10,71933,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2014-05-13,2014-05-08,2014-05-01,11D0-4CAD-81,7,2,Medium,Not Specified,61.92,1,37.152,0.0,74.3,0.0,74.3,2014,2014-05
11,71933,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2014-05-13,2014-05-08,2014-05-01,11D0-4CAD-81,16,2,High,Black,2294.99,1,1376.994,0.0,2753.99,0.0,2753.99,2014,2014-05
